"","unit.class","x","y","neurons","sigma1","sigma2","sigma3","sigma4","sigma5"
"114",41,6,6,70,0.0149190038236417,0.0152324329267225,0.0138981884647078,0.0146472823528922,0.0144461896731193
"115",41,6,6,90,0.0145980776068635,0.0142086894700873,0.0133763152769157,0.015305026000892,0.0138977451939128
"116",28,7,4,5,0.0430710684537371,0.0235130848910944,0.0241905464886659,0.0242013590945974,0.0237674368808517
"117",28,7,4,10,0.0430641724031444,0.0230813210285509,0.0243510689653661,0.0235590559715496,0.0249449500835361
"118",28,7,4,30,0.0244755978244145,0.0235619068548101,0.0237855055824648,0.0229402428829284,0.025120904642637
"119",28,7,4,50,0.0241378733861707,0.0231803907174318,0.0239914709429937,0.0232457493328063,0.024025272029221
"120",28,7,4,70,0.0239745095135078,0.0244223326987178,0.0248224085389231,0.0239679473853457,0.0249327712283364
"121",28,7,4,90,0.0246150856534959,0.0229661407213224,0.0236914930113982,0.0244450545088564,0.02370910470782
"122",10,3,2,5,0.032370421235342,0.0325094832591636,0.0440374269299266,0.0440374067699471,0.032486109357497
"123",10,3,2,10,0.0326043247014835,0.0440373859437612,0.0317996555544619,0.03192161439651,0.0440374175308817
"124",10,3,2,30,0.031453406140521,0.0313224873085373,0.0323002666926128,0.0319606706648198,0.0319784241821566
"125",10,3,2,50,0.0325553701600901,0.0322322281566128,0.0323534838528303,0.0318367444090535,0.0309769871019532
"126",10,3,2,70,0.031779520186971,0.0316313225256288,0.0320531941741124,0.0313539531596548,0.0311108337795088
"127",10,3,2,90,0.031077121215543,0.0323230020121854,0.0315238520769452,0.0318930872498894,0.0312815314627162
"128",35,7,5,5,0.020280123772079,0.0195229436555748,0.0210820045825672,0.0305524279808237,0.0204693040843849
"129",35,7,5,10,0.0199034269613852,0.0198683666766797,0.0188440883063842,0.019190166849111,0.0197266370570832
"130",35,7,5,30,0.019877533753464,0.0185673903690936,0.0182408295974161,0.0181466384862513,0.0190244106106497
"131",35,7,5,50,0.0185696763091533,0.0174407227110395,0.0178085517645816,0.0194073834870168,0.0188517853140581
"132",35,7,5,70,0.0199233656577982,0.0176072905820867,0.0188334662497224,0.0203043600021007,0.018706189320334
"133",35,7,5,90,0.0197713175609184,0.0200827656707577,0.0206043296841988,0.0190894370401421,0.0202655188004659
"134",27,6,4,5,0.0362785604493366,0.0362784171152182,0.0362783969490347,0.0362783383873519,0.0209816962062172
"135",27,6,4,10,0.0205468392729367,0.0211597575562881,0.0210532688310036,0.0208172909750767,0.0204640404842269
"136",27,6,4,30,0.0212356840034905,0.0211946512445129,0.0201613346056346,0.020893815240008,0.0209011232599228
"137",27,6,4,50,0.0204885050847339,0.0206005252912793,0.0208580885885532,0.020027543847639,0.0200469529758922
"138",27,6,4,70,0.0197721676290507,0.0200430730098624,0.019774435315526,0.0198032870926163,0.0199633441437456
"139",27,6,4,90,0.0198893207596863,0.0199295469360719,0.0202861237675845,0.0200397932527778,0.0198878389285436
"140",44,2,7,5,0.0353313461964828,0.03533135130798,0.0200489593310714,0.0200502938688158,0.0353313579896161
"141",44,2,7,10,0.0194775534849408,0.0353312876983966,0.0200482588628494,0.0191655156307808,0.0201576353895317
"142",44,2,7,30,0.0192287211965351,0.0199404374079948,0.0202363204993496,0.0202416498599924,0.018317992665193
"143",44,2,7,50,0.0188997939778644,0.019653837601242,0.0188341171002112,0.0195450208769422,0.0202740460287988
"144",44,2,7,70,0.0196854981465167,0.0193147403441134,0.0202546400859996,0.019388144804498,0.0198342871105664
"145",44,2,7,90,0.0193219896167663,0.0193551297869094,0.019827097006963,0.0193935162426601,0.0194758129560364
"146",11,4,2,5,0.0447840176906232,0.04477480163685,0.0447843877943274,0.028165743772623,0.0447841009177389
"147",11,4,2,10,0.0447840914053152,0.0283515254930063,0.0447841629456173,0.0276365796596357,0.027320274984517
"148",11,4,2,30,0.0274149830650054,0.0265027038679332,0.0266302451484176,0.0264203600599558,0.0277473174547981
"149",11,4,2,50,0.0262066789357919,0.0260868571087295,0.0275065521749996,0.0271431136439023,0.0264736383694341
"150",11,4,2,70,0.0272073188097857,0.0264287106068035,0.0266407849722466,0.0264403404869148,0.0266356171063116
"151",11,4,2,90,0.0258087994972806,0.0263622064023535,0.0269941039292222,0.0268596535811571,0.027784607969824
"152",7,7,1,5,0.0543181108302111,0.0543175722500553,0.0543196018781769,0.0466215075709557,0.0543232561560381
"153",7,7,1,10,0.0466673279134003,0.0430628027178853,0.0457461227907925,0.0421853385327845,0.0413785337064627
"154",7,7,1,30,0.040305562146225,0.0404826263192687,0.0393551713438344,0.0403322032859096,0.0400676634700439
"155",7,7,1,50,0.0409297994119927,0.0416128752020085,0.0395313673186439,0.0395995727664389,0.0424749132954282
"156",7,7,1,70,0.0403240775553279,0.0420575109951587,0.0415015614821927,0.0413480218626696,0.0433213075101512
"157",7,7,1,90,0.0419214238914616,0.0409837289337113,0.0404054721992435,0.0437660886269493,0.0406804975617417
"158",38,3,6,5,0.0167182553396272,0.0329243354880327,0.0167824735826683,0.0329300874762516,0.0154015679759617
