"","neurons","sigma1","sigma2","sigma3","sigma4","sigma5"
"1",0,0,0,0,0,0
"2",5,0.0361838034176041,0.0379735453235112,0.0362094732030565,0.03043479432607,0.030372252448257
"3",10,0.0276487668082318,0.0287551050485436,0.0272794051009674,0.0302775824885907,0.0290956198009652
"4",30,0.0277086078704773,0.028031807683584,0.0285401223627714,0.0273633568500029,0.0272224984105103
"5",50,0.0269401948940895,0.0269936262965495,0.0269702447294393,0.0280702244487793,0.0305623892308132
"6",70,0.0265824143694696,0.0264342668440919,0.0307280187044602,0.0291001971476689,0.0295520516209828
"7",90,0.0296976536054911,0.0302646278168958,0.0278026317630541,0.0277883424933988,0.0279377143046521
