"","unit.class","x","y","neurons","sigma1","sigma2","sigma3","sigma4","sigma5"
"1",0,0,0,0,0,0,0,0,0
"2",13,3,3,5,0.0230722983339709,0.0588377893204066,0.0245580793317007,0.0233033539985665,0.0242822287843719
"3",13,3,3,10,0.0234555431158978,0.0241180928641473,0.0234211920645508,0.0247756545963954,0.0240031607192885
"4",13,3,3,30,0.0242315438031341,0.0247768647567766,0.0225438818701527,0.0247247720195223,0.0234715907835948
"5",13,3,3,50,0.023163193789298,0.021929461935081,0.0230881025134875,0.0242357502280389,0.0240018444119182
"6",13,3,3,70,0.0229682996979411,0.0244010207573935,0.0238912755562672,0.0227312331312957,0.0229987780581941
"7",13,3,3,90,0.0235134427858279,0.0235265182871906,0.0241709350780799,0.0235657093429521,0.0229429465728424
"8",9,4,2,5,0.0145329265443998,0.043155318578278,0.0144067855011236,0.015984441599735,0.043155356174583
"9",9,4,2,10,0.0431550677628692,0.0148121503571024,0.0143572361057612,0.0431571404295337,0.0160912607167081
"10",9,4,2,30,0.0142926309017506,0.0143729851314614,0.0149472654899852,0.01448062332937,0.0160719885626345
"11",9,4,2,50,0.0145098948840744,0.0153983480606437,0.0143223345753353,0.0144821270988896,0.0144968195810312
"12",9,4,2,70,0.0147023245728964,0.0144668373025365,0.0143873911595606,0.0144320822384944,0.0143209239178031
"13",9,4,2,90,0.014572934270047,0.0145286167116649,0.0146920844502071,0.0146826357835019,0.0144432762334243
"14",22,2,5,5,0.0509464530490617,0.0509450247624645,0.0509449881753351,0.0509465295686602,0.0513025868377471
"15",22,2,5,10,0.0509428853982114,0.050355647377263,0.0509445815662746,0.05113840478965,0.0480976952251549
"16",22,2,5,30,0.0486608106762122,0.0499796804210685,0.0498203303132719,0.0489670104074112,0.0494682683186798
"17",22,2,5,50,0.0510278801664205,0.0498338427926356,0.0489392343739593,0.0492369708339591,0.0518231977022515
"18",22,2,5,70,0.0522078871935468,0.0507261892044853,0.0509239086128069,0.0483032653941777,0.0492732694211985
"19",22,2,5,90,0.0527121752811436,0.0504158781920074,0.0503910582588118,0.0485271487234178,0.049942125339752
"20",23,3,5,5,0.0862776568010643,0.0862776568010643,0.0862776568010643,0.0322393684304436,0.0302574049052039
"21",23,3,5,10,0.0275119837708841,0.0322978481082839,0.0289945093033946,0.0282375025872997,0.0862689270284863
"22",23,3,5,30,0.0256478946511436,0.0272541357224552,0.0272066812156241,0.0293536845307739,0.0304213989591284
"23",23,3,5,50,0.033355360150406,0.0294723560848464,0.0284597253861383,0.0323031433116399,0.0282601454731005
"24",23,3,5,70,0.0266165241848233,0.0282952435755899,0.0267493810131219,0.0327608330710269,0.0284661892108541
"25",23,3,5,90,0.02964271529964,0.0309170509112749,0.0307848279211157,0.0330650046668296,0.0311053200079215
"26",7,2,2,5,0.0408700585103188,0.0233125304293778,0.0408720632186928,0.0408720941318586,0.0408720941318586
"27",7,2,2,10,0.023382387842578,0.022643869005935,0.0232989106161868,0.0236863232628762,0.0232608555433594
"28",7,2,2,30,0.0232486963092271,0.0229316764768723,0.0228528950883925,0.0225604643713519,0.0227475657455364
"29",7,2,2,50,0.0235011456829348,0.022494241156013,0.0225531677561791,0.0225550326932683,0.0232348855711949
"30",7,2,2,70,0.0226486435512191,0.0230917479983667,0.0226458135811263,0.0231022280733164,0.023240374397437
"31",7,2,2,90,0.0224477400545303,0.0224503039534147,0.0227854667807214,0.023362346757081,0.0230737871311329
"32",14,4,3,5,0.0221780152681235,0.0226461459719906,0.0227893019742665,0.0225165158144531,0.0229227837930111
"33",14,4,3,10,0.0224019567529682,0.0225646574010117,0.0224250932172468,0.0228493583185287,0.0225161710419955
"34",14,4,3,30,0.0217603540084145,0.022417910842914,0.0224180305882198,0.0222307439313618,0.0226840285031164
"35",14,4,3,50,0.0220950871637173,0.021685545218133,0.0221789479691653,0.022215178381812,0.0222031139277023
"36",14,4,3,70,0.0218420497890177,0.0218253164241953,0.021466480783769,0.0225792859548917,0.0210444603843404
"37",14,4,3,90,0.0218382343369493,0.0220007574912763,0.0219517013286107,0.0221062880360966,0.0220175358450573
"38",5,5,1,5,0.0395857396433959,0.0158296594910164,0.0163855884734111,0.0395857296066019,0.0395856625419469
"39",5,5,1,10,0.0395857600010791,0.0161809377246738,0.0161812934753411,0.0162072439338566,0.0159103854717452
"40",5,5,1,30,0.0167618505236107,0.0160804166206533,0.0168821245628638,0.0160227595615062,0.0167652458073267
"41",5,5,1,50,0.0165256567002501,0.015755334496153,0.0161155026371732,0.0160882796482371,0.0158582509862494
"42",5,5,1,70,0.0158419643739975,0.0162056110808711,0.0170770054296032,0.0160823867684059,0.0164024079024248
"43",5,5,1,90,0.0161625577911052,0.0158041454063517,0.0163357122316237,0.015671283557158,0.0160119703196541
"44",16,1,4,5,0.0358387628703746,0.0312610319540709,0.051173459156377,0.0316664624562635,0.0511734629986773
"45",16,1,4,10,0.0511737435018797,0.0511733479898702,0.0313810070502913,0.0317081481231438,0.0310200643530014
"46",16,1,4,30,0.0312259531980538,0.0325307401851773,0.0316690952576918,0.0307690419599043,0.0325042841627046
"47",16,1,4,50,0.0304906245188031,0.0309376152856241,0.0320580851150993,0.031245823674445,0.0317471635502452
"48",16,1,4,70,0.0316060507330882,0.032177142370071,0.0321066247021045,0.0310004916820644,0.0321340972824293
"49",16,1,4,90,0.0318333825427032,0.031794618428562,0.031091873415357,0.0319523479057952,0.0330406972722757
"50",10,5,2,5,0.0150933670884344,0.0163771108983535,0.0163057585719132,0.0383941278274891,0.0148446127495115
"51",10,5,2,10,0.0159163376743298,0.0148389521417316,0.0159732984297943,0.0383941479287649,0.0159008089524405
"52",10,5,2,30,0.015246121827428,0.0152354104398585,0.0146334208749225,0.015035826753275,0.0146240666577991
"53",10,5,2,50,0.0148157129035997,0.015033074890919,0.0148551161994294,0.0149884404378734,0.0151695013234143
"54",10,5,2,70,0.0146179007549314,0.0148769650246588,0.0158231032164805,0.0151566580370708,0.0156962591273228
"55",10,5,2,90,0.0149384549702689,0.0148081285730028,0.0149686498686742,0.0151364787759981,0.015058462523986
"56",8,3,2,5,0.0186839099301755,0.0186862237776162,0.0189355730206493,0.0186905087218558,0.0186848620360244
"57",8,3,2,10,0.0193562023240176,0.0190939212405592,0.0186842874125432,0.0444072019461881,0.0186788921377039
"58",8,3,2,30,0.0195873265194119,0.0196892306521722,0.0193932846582512,0.0201389036537739,0.0184529341489016
"59",8,3,2,50,0.018865309220793,0.0195371717514554,0.0183306831339371,0.0181670818352456,0.0184767551865347
"60",8,3,2,70,0.0195453782103489,0.0187187809178633,0.0187602181459963,0.0185659535378096,0.0191490437073827
"61",8,3,2,90,0.0184664631939963,0.018096666567299,0.0187028984287658,0.0187056728470434,0.0198008497774038
"62",20,5,4,5,0.0148791650553107,0.0149715545973059,0.0234473584214358,0.0146013170891025,0.0234474060523153
"63",20,5,4,10,0.0147107705396252,0.0150649769975322,0.0155114748261212,0.0147074885473509,0.0150668467072541
"64",20,5,4,30,0.0155154194446378,0.0145050226685684,0.0140685189972888,0.0148598158564704,0.0154837289959612
"65",20,5,4,50,0.0153840128526815,0.0151183282826879,0.0154045246135311,0.0153540142434257,0.0149397710845264
"66",20,5,4,70,0.0148010176140162,0.0151768144070101,0.0155536228852629,0.0138648684070458,0.0148240384766284
"67",20,5,4,90,0.0143530942677556,0.0145298538405931,0.0149270451759425,0.0152127115725603,0.014537562296547
"68",17,2,4,5,0.0414887048676128,0.0414882689801101,0.0247981565419282,0.0249105626147589,0.0245295250581451
"69",17,2,4,10,0.0414882348609402,0.0249102709825819,0.0239987248106764,0.0238174848966647,0.024756168714811
