"","unit.class","x","y","neurons","sigma1","sigma2","sigma3","sigma4","sigma5"
"1",0,0,0,0,0,0,0,0,0
"2",40,7,4,5,0.0661232856233646,0.0235919349627705,0.0216696088186069,0.021407354057041,0.0215850767498772
"3",40,7,4,10,0.0233417244112079,0.0214713354390617,0.066122747712161,0.0208425403694758,0.0661234424184732
"4",40,7,4,30,0.021350301445272,0.0228075882309813,0.0241332428018922,0.0245805721370364,0.0219769010892543
"5",40,7,4,50,0.0221888101498544,0.0233726873029997,0.0218349741562169,0.0229155252918253,0.0241058014183326
"6",40,7,4,70,0.0241098238542447,0.0227620030389244,0.0244527966997603,0.0241796000981935,0.0210990177468611
"7",40,7,4,90,0.0246817077363208,0.0229208630599179,0.0228142094853358,0.024477823216481,0.023199373058108
"8",61,6,6,5,0.0190234775552599,0.0503125514428914,0.050311884547162,0.0503121254679563,0.0192088233104099
"9",61,6,6,10,0.0179884205006103,0.0503118273604658,0.019174773003864,0.0202215081011895,0.0179060402939678
"10",61,6,6,30,0.0180611978897449,0.0182175912937301,0.0185627880495561,0.0187386175896016,0.0182537980456717
"11",61,6,6,50,0.0181500197248526,0.0188855042057423,0.0503100290114654,0.0184913708591041,0.0188042486842829
"12",61,6,6,70,0.0179162731743783,0.017645853775112,0.0183786280834678,0.0186765233391981,0.018456498330227
"13",61,6,6,90,0.018234267394085,0.0182905428999841,0.0185023809724785,0.0185358719719012,0.0181202819736048
"14",25,3,3,5,0.0142174111693419,0.0127111936065127,0.030333178747674,0.0137185940349182,0.0139271077509789
"15",25,3,3,10,0.0140764641427496,0.0127078174973357,0.0131544728536207,0.0303328649340219,0.0128107919268564
"16",25,3,3,30,0.0134830624020933,0.0139531547007337,0.0135885981408757,0.0128339292916304,0.0136459608259262
"17",25,3,3,50,0.0142021136292215,0.0138107249087746,0.013697033752559,0.0133005346707795,0.0138779129043071
"18",25,3,3,70,0.0139812727042965,0.0140665477802247,0.0140108361626302,0.0132517899393632,0.0138697208553881
"19",25,3,3,90,0.0135826303004917,0.0132963624192609,0.0132522244295941,0.0135787266827964,0.0134344677864878
"20",47,3,5,5,0.0129959020582284,0.0259248236400635,0.0259248078540449,0.0129260319089541,0.012676620303485
"21",47,3,5,10,0.0131331862316815,0.0125854596631966,0.012804307342321,0.0129222643483651,0.0128920971702222
"22",47,3,5,30,0.0126278688085454,0.0122372557056766,0.012362997143831,0.0134834297197861,0.0123534711022582
"23",47,3,5,50,0.0125771253918712,0.012412282073943,0.0121623600107272,0.012273008764017,0.0123645005096343
"24",47,3,5,70,0.0125249699711385,0.0122551185643602,0.0126461347561816,0.0126041669255727,0.0124135245404924
"25",47,3,5,90,0.0124712232813875,0.0127444470603086,0.0121729200997698,0.012521171789551,0.0122440374890617
"26",57,2,6,5,0.0135398121421285,0.0267809986150512,0.0134756553567401,0.0134102537488988,0.0267809848445492
"27",57,2,6,10,0.0140817398388606,0.0115941055196236,0.0134952012873107,0.0267809519631278,0.0131582581888337
"28",57,2,6,30,0.0140804954471248,0.0140066503176705,0.0139520274923935,0.0140240077625745,0.0142968762895905
"29",57,2,6,50,0.0133259444420592,0.013947851030448,0.0140433374354271,0.0146349920028727,0.0122581207617472
"30",57,2,6,70,0.0140942955905581,0.0120120279122164,0.0130334904375679,0.0151054772318285,0.0120524220534057
"31",57,2,6,90,0.0141328159352822,0.0135407289543299,0.0134335951185314,0.0143556994663465,0.0134015528253685
"32",86,9,8,5,0.0264659707058055,0.0383837068243096,0.0383838065833482,0.0268114623869917,0.0263639557480262
"33",86,9,8,10,0.0270685997000538,0.0383838233602155,0.0259934089163836,0.0263749788949787,0.0277431931219064
"34",86,9,8,30,0.0271515115061667,0.0269759437684268,0.0264072660853132,0.0264864907461757,0.0259864830542359
"35",86,9,8,50,0.0271628612248268,0.0266206491044347,0.0259410314170136,0.0249743410261728,0.0255991178033352
"36",86,9,8,70,0.0260118655633147,0.0261600977735973,0.0262673911141824,0.0264110461149238,0.0260994734362233
"37",86,9,8,90,0.0261707729947681,0.0276577430471,0.0259586372558298,0.0257032750347312,0.0266584257097892
"38",70,4,7,5,0.0334649743496426,0.0190093654409532,0.0190188515630011,0.0334649879062496,0.0190255118198107
"39",70,4,7,10,0.0184449613086702,0.0192420109458127,0.0186173411683599,0.0334625375477538,0.0183735253287098
"40",70,4,7,30,0.018646472315372,0.018786563526451,0.0190383110412904,0.0182147673251675,0.0184424492175757
"41",70,4,7,50,0.0177962541818527,0.0183214417891828,0.0193189215359877,0.0183615144717623,0.0187605221219947
"42",70,4,7,70,0.0186741089616602,0.0179715023032574,0.0188437152929789,0.0183497479578059,0.017676989311186
"43",70,4,7,90,0.0183325064177845,0.0179066954240854,0.0190909049630451,0.0182816915991995,0.0181545676337287
"44",80,3,8,5,0.0281087594194698,0.0281088815850374,0.0198652921203077,0.0281088815850374,0.0194531946020553
"45",80,3,8,10,0.0199936309564731,0.0199750874936412,0.0196142679345832,0.0281088171135797,0.0197124985089415
"46",80,3,8,30,0.0208546600147037,0.0280973245270683,0.0203372119982343,0.0197688413106981,0.0198595114849988
"47",80,3,8,50,0.0191352719190465,0.0194856397919297,0.0196635068108904,0.0182299826903527,0.02066375429243
"48",80,3,8,70,0.0196501715758864,0.0202697881338443,0.0195439312001465,0.019273189727253,0.0200800082222171
"49",80,3,8,90,0.0190037194721414,0.0189103158913969,0.0201703489725718,0.0193645300413036,0.0188651213570726
"50",30,8,3,5,0.0473674820258354,0.0473679065891004,0.0829482592241891,0.0829491386839816,0.0473695822696968
"51",30,8,3,10,0.0462810686541182,0.0473690039226831,0.0509771415361124,0.0482475529105499,0.0470672895764836
"52",30,8,3,30,0.0496940422441472,0.0484344435164526,0.0471269777191632,0.0493112936518333,0.0493453401704871
"53",30,8,3,50,0.0468836490141884,0.0498076223297765,0.0524040587151923,0.0491569870186245,0.043843607229679
"54",30,8,3,70,0.0535658223393809,0.0481869286924781,0.0532806497579876,0.0476951055215027,0.0473878581389744
"55",30,8,3,90,0.049547069782734,0.0518018515792445,0.0543142116023733,0.0514213673482071,0.0531806344678134
"56",21,10,2,5,0.0386946838586738,0.0501354928053493,0.0501345542401046,0.0501351447304991,0.0386956379301962
"57",21,10,2,10,0.0380853322332716,0.0377080740789966,0.039037462369892,0.0396013102265197,0.0385400707423204
"58",21,10,2,30,0.0390101416775613,0.0411154779333565,0.0397788347799728,0.037380665790636,0.0404842573109133
"59",21,10,2,50,0.0393935605421154,0.0387464342694824,0.0388942361488105,0.0396903769198202,0.0380622724532537
"60",21,10,2,70,0.0386717655221355,0.0387991238795696,0.0374520291979562,0.0378314327397095,0.0415779495835491
"61",21,10,2,90,0.0415054994005965,0.0385295279413966,0.0399204021203297,0.0394627873267885,0.041594385477825
"62",103,4,10,5,0.0216728249274395,0.0218513347554192,0.0222258923613761,0.0216053046679335,0.0299426038803737
"63",103,4,10,10,0.0233923318819346,0.02260622377171,0.0229316611018108,0.0225169580557385,0.0222303968984348
"64",103,4,10,30,0.0214343779274901,0.0212518229950994,0.0226529198995264,0.0211598663283469,0.0205959319689439
"65",103,4,10,50,0.0209079454401732,0.0216909969889104,0.0206640205328266,0.0207897976478623,0.0207287975928006
"66",103,4,10,70,0.020640986186521,0.0200946876394938,0.0228158607878136,0.02076773307071,0.0219991863248959
"67",103,4,10,90,0.0218241408850468,0.0207334082377245,0.0215051938043811,0.0216731617679521,0.0234104244883977
"68",105,6,10,5,0.035612163276703,0.035612163276703,0.024134958856642,0.035612163276703,0.0356120419725483
"69",105,6,10,10,0.0238495064619546,0.0356148088331554,0.0238939069330689,0.0241357250971005,0.0235688083984153
"70",105,6,10,30,0.0241024519281678,0.0254043305938726,0.0245919271692336,0.0234455929467065,0.0262121062474638
"71",105,6,10,50,0.0247486648447095,0.0255205505077136,0.0249625880676146,0.0259905281853516,0.0253703224524062
"72",105,6,10,70,0.0243555218351848,0.0249456996557033,0.0241588912770975,0.0240866892923195,0.0251173075495818
"73",105,6,10,90,0.0242973659968195,0.0248765070123266,0.0244233184287941,0.0259993676853397,0.0242149717663797
"74",16,5,2,5,0.0336383221449701,0.033638868979737,0.0187188557860933,0.0195710594424845,0.0195057362886222
"75",16,5,2,10,0.020037948018615,0.0336394550388167,0.0194421887595675,0.0198897173552013,0.0225453507819556
"76",16,5,2,30,0.0218918755988383,0.0203368031095701,0.0207452237485243,0.0196596853009885,0.0199665516682727
"77",16,5,2,50,0.0218950293739623,0.0206860265593713,0.0207833741264625,0.0203719833306932,0.0206832149969913
"78",16,5,2,70,0.0206110699170828,0.0201900771945228,0.0211862444371045,0.02125919964168,0.0222154461039997
"79",16,5,2,90,0.0211371362138651,0.0218814364168728,0.0211109374293017,0.0197806400773273,0.0213122032127813
"80",69,3,7,5,0.0180722058048403,0.0185263273081554,0.0180176968218177,0.0185208765213661,0.0180659927534309
"81",69,3,7,10,0.0188867496037814,0.036532986775759,0.0191207544155358,0.0185445308559516,0.0174685643026171
"82",69,3,7,30,0.0182341190316922,0.0182880295538573,0.0180115310915425,0.0175524096402217,0.0177875147463159
"83",69,3,7,50,0.0179765926204768,0.0181718203631786,0.0178700343211325,0.0176822664134624,0.0180629017755135
"84",69,3,7,70,0.0177299600773695,0.0184116579874379,0.0179136940462555,0.0175361934264155,0.0184959995187161
