"","unit.class","x","y","neurons","sigma1","sigma2","sigma3","sigma4","sigma5"
"1",0,0,0,0,0,0,0,0,0
"2",32,4,5,5,0.0568066655477115,0.0251256198124489,0.0269441671277075,0.0261600346486035,0.0269441375239651
"3",32,4,5,10,0.0293730161461144,0.0274828347860958,0.0568061284679303,0.027621986914076,0.0264916951834701
"4",32,4,5,30,0.0266813544983529,0.0257416202617321,0.0246348781080022,0.0265318071950753,0.0265661610628808
"5",32,4,5,50,0.0257316765527085,0.0266814223371252,0.0244363746850324,0.0235462283447879,0.0253023826475905
"6",32,4,5,70,0.0261386882745945,0.0253736768530502,0.026524286460717,0.0274657238720988,0.0266169890133033
"7",32,4,5,90,0.0268649457066783,0.0265181103463936,0.0255121465745181,0.0261456071091479,0.0262992057409956
"8",25,4,4,5,0.0496509722728686,0.0496508924139106,0.0181833582602968,0.0496508659972424,0.0191279883068768
"9",25,4,4,10,0.0222618198190926,0.0181835429404775,0.0321857003264328,0.0351675986491333,0.0496514542966518
"10",25,4,4,30,0.0193291394821566,0.0361367381894212,0.019163674654497,0.0189718817850594,0.0200651127856086
"11",25,4,4,50,0.0189524245275231,0.0198173987488975,0.0271997631704654,0.0198187589303821,0.0201994032765033
"12",25,4,4,70,0.020010919105728,0.0190599699827379,0.0193174421421656,0.0203044175970147,0.0192687867356208
"13",25,4,4,90,0.0186328272885643,0.0201241627380187,0.0204905484340523,0.0199221306626503,0.0187341573483652
"14",29,1,5,5,0.013015472610942,0.0141439229733549,0.0278656238000414,0.0127926673855213,0.013181293755715
"15",29,1,5,10,0.0278651003931285,0.0132955119027517,0.027865902060885,0.0130601252222188,0.0127830193598123
"16",29,1,5,30,0.0130039376543374,0.0128549917012059,0.0128940565636104,0.0131887265788615,0.0130372250616037
"17",29,1,5,50,0.0137850386898413,0.0128955290318627,0.0127147015136579,0.0129661182423021,0.013281158698887
"18",29,1,5,70,0.0133079110293713,0.0134093541961038,0.0124248457393737,0.0129474263897516,0.0171123692850386
"19",29,1,5,90,0.0131417087058317,0.0132015846728364,0.0134155424123216,0.0127593992945401,0.01271457538847
"20",31,3,5,5,0.0151278986827919,0.0146816408643427,0.0338907158611881,0.0339146310300292,0.0131774384037644
"21",31,3,5,10,0.0131195796910179,0.0146823439604221,0.0126908377449955,0.0128448585163317,0.0123061985450504
"22",31,3,5,30,0.0129046869569439,0.0125304699716415,0.0126902327746806,0.012529100502892,0.0126022274122058
"23",31,3,5,50,0.012657852624803,0.0125557335023727,0.0123972208127404,0.0129416082268024,0.0126158210720251
"24",31,3,5,70,0.0126743324058311,0.012540914245623,0.0125694072122108,0.0129630965841172,0.0122076448057066
"25",31,3,5,90,0.0127127506453103,0.0125548170410581,0.0125718780877738,0.0126701298587307,0.0124019903882432
"26",23,2,4,5,0.0327626083288966,0.0148690974487554,0.0327626431983973,0.0145508651510118,0.0153894212870825
"27",23,2,4,10,0.0146683711508404,0.0146417333524358,0.0148649212718858,0.0327626083288966,0.0158815403662619
"28",23,2,4,30,0.013871809829646,0.0209176457645068,0.0242367446738785,0.0138178125628321,0.0142916606233283
"29",23,2,4,50,0.021155933752995,0.0219370064251395,0.0142512551064335,0.0173366531334779,0.0150606449845502
"30",23,2,4,70,0.013937722988126,0.0139722039056492,0.016580421805573,0.0137820908285612,0.013385581364879
"31",23,2,4,90,0.0136804461659713,0.0130756599238511,0.014182781801751,0.0135312258833527,0.0136572631330729
"32",14,7,2,5,0.0382494868833003,0.0384265545772235,0.0384837804988467,0.0502979163344471,0.0502979314981894
"33",14,7,2,10,0.0384292337261753,0.0384302361386875,0.0502977399307541,0.0502979314981894,0.0369555662061652
"34",14,7,2,30,0.0374490568236023,0.0364202723008464,0.0389614309310924,0.038337368221207,0.0378896393608776
"35",14,7,2,50,0.0415146280872082,0.0390104366617496,0.0374264829376552,0.0397200272344494,0.0384600292898961
"36",14,7,2,70,0.0385274548337215,0.0363807301202872,0.0398211634800806,0.0405500238168564,0.0383181354982822
"37",14,7,2,90,0.0392244100204524,0.043446988721356,0.037666391335067,0.0405945955779734,0.0399115932524902
"38",24,3,4,5,0.0245261397727298,0.0234311455446125,0.0391009876411921,0.0228722613891298,0.0391009876411921
"39",24,3,4,10,0.0230567345157987,0.0216789781895532,0.0230840506936501,0.0221205514030046,0.0220813052589582
"40",24,3,4,30,0.0214484564936937,0.020837270542443,0.0214396875037239,0.0223366201251925,0.0210961363739111
"41",24,3,4,50,0.0210291714569333,0.0222474182362263,0.0209951641583985,0.0211988316306144,0.0216627950326383
"42",24,3,4,70,0.021725102549391,0.0212912066412593,0.0211175011888414,0.0215063745696227,0.0221459004716753
"43",24,3,4,90,0.0216362973259704,0.0213859944918279,0.0210261985115359,0.0212526412809805,0.0211500241378121
"44",17,3,3,5,0.0338249886282871,0.0204731509284104,0.0194368850524682,0.0186935077950353,0.0194245304601322
"45",17,3,3,10,0.0193416975601496,0.0188192425884861,0.0194297689426355,0.0338258089535079,0.0204717118291525
"46",17,3,3,30,0.0203106401540979,0.0190617465808233,0.0200309929615759,0.0194688419018052,0.0198554082819454
"47",17,3,3,50,0.0198896787104015,0.0193027630360277,0.0199933276976025,0.019503074650779,0.0191532990091281
"48",17,3,3,70,0.0189341550377295,0.0205413992528181,0.0192140847788859,0.0199136894158091,0.0196534275412594
"49",17,3,3,90,0.0199627951101384,0.0202724586229193,0.0192677964188682,0.0198824645845934,0.019975643249872
"50",48,6,7,5,0.0693964109997252,0.0622811857718437,0.0749976000193397,0.0769799986060154,0.138890969644849
"51",48,6,7,10,0.0662344899444166,0.0690622430565196,0.0685554690127441,0.0680203824673133,0.0647394699532352
"52",48,6,7,30,0.0651925639275707,0.0665126781602761,0.0711411603273223,0.0665739623936568,0.0648151584703476
"53",48,6,7,50,0.0607040999210104,0.0721039465039994,0.0633525941228629,0.0664098491888516,0.0661424854633337
"54",48,6,7,70,0.0731189517738316,0.0672970775397135,0.0585571032787502,0.0610588302088591,0.0695369448734646
"55",48,6,7,90,0.0711789566308877,0.0711994728777793,0.0697777343864416,0.0689676056222157,0.0768776989541193
