"","unit.class","x","y","neurons","sigma1","sigma2","sigma3","sigma4","sigma5"
"1",0,0,0,0,0,0,0,0,0
"2",1,1,1,5,0.0217046577231803,0.0427673836685896,0.022444831843189,0.0427673836685896,0.0427671741711147
"3",1,1,1,10,0.0218011401342085,0.0212115048057184,0.0223670679116235,0.0220630652871271,0.0219031807163561
"4",1,1,1,30,0.0213803514341389,0.0213182042043642,0.0212912707991525,0.0224527525871775,0.0214240971422395
"5",1,1,1,50,0.0217656091318769,0.0213949559163559,0.0218467073594863,0.0210650833556249,0.021833032107318
"6",1,1,1,70,0.022445216602592,0.0225106325111344,0.0221643224936821,0.0219524082240471,0.0221075661359486
"7",1,1,1,90,0.0221707110776372,0.0223832816548562,0.0213638878564705,0.0230309218231989,0.022026783062886
"8",5,1,2,5,0.0395826408649071,0.0169779114208324,0.0395822847588845,0.0395826408649071,0.0395826408649071
"9",5,1,2,10,0.0166996511985136,0.0150946541125397,0.0167096958632567,0.0145299517405086,0.0395794544252272
"10",5,1,2,30,0.0170765346332034,0.0147451677086588,0.0148999155436247,0.0144099997275178,0.0146893993321453
"11",5,1,2,50,0.0148269297571413,0.0146793386041699,0.0146921062370454,0.0149926276152699,0.014858168976914
"12",5,1,2,70,0.014975693382059,0.0149409263229913,0.0148998817752735,0.0147631709212973,0.0145925032961079
"13",5,1,2,90,0.0148183556409736,0.0151173592077796,0.0148114695311748,0.0150564459369031,0.0154254107115298
"14",15,3,4,5,0.0438006218624176,0.0643975405734284,0.0643975405734284,0.0434203777334311,0.0643975313318284
"15",15,3,4,10,0.0414077607121435,0.0423499113171848,0.064397494298707,0.0350798575097595,0.0408474384770473
"16",15,3,4,30,0.0412394249372443,0.0417805549172766,0.0404551942019911,0.0438001189848314,0.0408453146562326
"17",15,3,4,50,0.0394045914318387,0.0411088400857388,0.039023796286653,0.0388002791373102,0.0402470808354064
"18",15,3,4,70,0.039210410424732,0.0403995755203888,0.0399425708549276,0.0393249754423925,0.0425233887393545
"19",15,3,4,90,0.0396900773958139,0.0407272606935387,0.0400843230388765,0.0425624756562902,0.0387385113022201
"20",7,3,2,5,0.0242313484307228,0.0401583130213946,0.0401583130213946,0.0242172460250209,0.0401583209719733
"21",7,3,2,10,0.0242710585236965,0.0235199123082558,0.0241491513121885,0.0401579672279595,0.0239704570719946
"22",7,3,2,30,0.023433914731338,0.040158888760041,0.0232131187791426,0.023015199983239,0.023491078325233
"23",7,3,2,50,0.0236580589060077,0.0231738510827693,0.0243513020554416,0.023950498501571,0.0231790162880554
"24",7,3,2,70,0.0230031437981446,0.0233433608151932,0.02374713214133,0.0228355237409637,0.0235400904420923
"25",7,3,2,90,0.0230866502859591,0.0239165792711426,0.0243338592953229,0.0231550587842591,0.0229239503915958
"26",3,3,1,5,0.0212638812349144,0.0214403747938309,0.0427882947773146,0.0427720244076812,0.0427720821815229
"27",3,3,1,10,0.0211695095045511,0.0208384536134281,0.0203650920355344,0.0207442894516543,0.0211491002651565
"28",3,3,1,30,0.0208547330298394,0.0210611954468317,0.0224448010150315,0.0204789091809988,0.0212586602833878
"29",3,3,1,50,0.0220881202519363,0.0213821288803988,0.0209886702924295,0.0213071484590399,0.0204984551075834
"30",3,3,1,70,0.0208129958603368,0.0210047415495182,0.0219874450729988,0.0208519803082331,0.0216805460613772
"31",3,3,1,90,0.0213507599394058,0.0211371376386185,0.0207299275859306,0.0212577412546748,0.021257040612036
"32",14,2,4,5,0.0365516916859605,0.0221887122124032,0.0225252119891566,0.0227640778400495,0.0220761928581596
"33",14,2,4,10,0.0216329527940591,0.0223394065333845,0.0222068817075255,0.0220408964493683,0.0226190626548974
"34",14,2,4,30,0.0220465409140625,0.0212254075233172,0.0220607561982717,0.0221795305443177,0.0212224861343803
"35",14,2,4,50,0.0220036761892264,0.0220133597899063,0.0219377700862625,0.0220189689814051,0.0220216554356673
"36",14,2,4,70,0.0223655531478385,0.0217737558872512,0.0216762336647219,0.0221873502632686,0.0221841420214043
"37",14,2,4,90,0.0221699130755762,0.0221538540940741,0.0221672532078249,0.0220071312800165,0.0218409154159318
"38",16,4,4,5,0.106585617568984,0.106585872615131,0.0423705976053031,0.0451284577967458,0.0451165158776444
"39",16,4,4,10,0.0398291840632558,0.0422605073768116,0.0413237052098081,0.0416061989655794,0.0419909948408893
"40",16,4,4,30,0.0420725648211051,0.0400696985063151,0.0418600036638763,0.0406991824590011,0.0401258738818736
